"Airport Name","City","Country","three-digit code","four_digit","l1","l2"
"Forestville Airport","Forestville","Canada","","CYFE",48.74610138,-69.09719849
"Pitt Meadows Airport","Pitt Meadows","Canada","","CYPK",49.21609879,-122.7099991
"Blida Airport","Blida","Algeria","","DAAB",36.50360107,2.814169884
"Bou Saada Airport","Bou Saada","Algeria","","DAAD",35.33250046,4.206389904
"Reggane Airport","Reggan","Algeria","","DAAN",26.71010017,0.2856470048
"Ain Oussera Airport","Ain Oussera","Algeria","","DAAQ",35.52539825,2.878710032
"Mecheria Airport","Mecheria","Algeria","","DAAY",33.53590012,-0.2423530072
"Relizane Airport","Relizane","Algeria","","DAAZ",35.75220108,0.6262720227
"Bou Sfer Airport","Bou Sfer","Algeria","","DAOE",35.73540115,-0.8053889871
"Sidi Bel Abbes Airport","Sidi Bel Abbes","Algeria","","DAOS",35.17179871,-0.5932750106
"Wa Airport","Wa","Ghana","","DGLW",10.08269978,-2.507689953
"Dirkou Airport","Dirkou","Niger","","DRZD",18.96870041,12.86870003
"Diffa Airport","Diffa","Niger","","DRZF",13.37290001,12.6267004
"Sidi Ahmed Air Base","Bizerte","Tunisia","","DTTB",37.24539948,9.791449547
"Remada Air Base","Remada","Tunisia","","DTTD",32.30619812,10.38210011
"Borj El Amri Airport","Bordj El Amri","Tunisia","","DTTI",36.72129822,9.943149567
"Beauvechain Air Base","Beauvechain","Belgium","","EBBE",50.75859833,4.768330097
"Kleine Brogel Air Base","Kleine Brogel","Belgium","","EBBL",51.168301,5.47
"Jehonville Air Base","Bertrix","Belgium","","EBBX",49.89170074,5.223889828
"Chièvres Air Base","Chievres","Belgium","","EBCV",50.57580185,3.83100009
"Koksijde Air Base","Koksijde","Belgium","","EBFN",51.09030151,2.652780056
"Florennes Air Base","Florennes","Belgium","","EBFS",50.24330139,4.645830154
"Zutendaal Air Base","Zutendaal","Belgium","","EBSL",50.94749832,5.590559959
"Limburg Regional Airport","Sint-truiden","Belgium","","EBST",50.79190063,5.20167017
"Saint Hubert Air Base","St.-hubert","Belgium","","EBSU",50.03440094,5.440810204
"Ursel Air Base","Ursel","Belgium","","EBUL",51.14419937,3.47555995
"Weelde Air Base","Weelde","Belgium","","EBWE",51.39479828,4.960189819
"Oostmalle Air Base","Zoersel","Belgium","","EBZR",51.264702,4.75333
"Bautzen Airport","Bautzen","Germany","","EDAB",51.19361115,14.51972198
"Dessau Airport","Dessau","Germany","","EDAD",51.83169354,12.19096184
"Eisenhüttenstadt Airport","Eisenhuettenstadt","Germany","","EDAE",52.195856,14.58753
"Großenhain Airport","Suhl","Germany","","EDAK",51.30805588,13.5555563
"Merseburg Airport","Muehlhausen","Germany","","EDAM",51.3630556,11.9408333
"Halle-Oppin Airport","Halle","Germany","","EDAQ",51.552223,12.053889
"Riesa-Göhlis Airport","Riesa","Germany","","EDAU",51.29360962,13.35611057
"Rechlin-Lärz Airport","Rechlin-laerz","Germany","","EDAX",53.30638886,12.75222206
"Strausberg Airport","Strausberg","Germany","","EDAY",52.58055496,13.91666698
"Schönhagen Airport","Schoenhagen","Germany","","EDAZ",52.20360947,13.15638924
"Jena-Schöngleina Airport","Jena","Germany","","EDBJ",50.91527939,11.71444416
"Kyritz Airport","Kyritz","Germany","","EDBK",52.91888809,12.42527771
"Magdeburg \City""Airport""""""","Magdeburg","Germany","","EDBM",52.073612,11.626389
"Rothenburg/Görlitz Airport","Rothenburg/ol","Germany","","EDBR",51.36333466,14.94999981
"Anklam Airport","Anklam","Germany","","EDCA",53.83277893,13.66861057
"Cottbus-Drewitz Airport","Cottbus","Germany","","EDCD",51.889442,14.531944
"Kamenz Airport","Kamenz","Germany","","EDCM",51.29694366,14.12749958
"Allendorf/Eder Airport","Allendorf","Germany","","EDFQ",51.03499985,8.680832863
"Worms Airport","Worms","Germany","","EDFV",49.606945,8.368333
"Mainz-Finthen Airport","Mainz","Germany","","EDFZ",49.967499,8.147222
"Eisenach-Kindel Airport","Eisenach","Germany","","EDGE",50.991604,10.47973
"Siegerland Airport","Siegerland","Germany","","EDGS",50.70769882,8.082969666
"Flugplatz Dahlemer Binz","Dahlemer Binz","Germany","","EDKV",50.40555573,6.528889179
"Meinerzhagen Airport","Meinerzhagen","Germany","","EDKZ",51.09999847,7.599999905
"Bielefeld Airport","Bielefeld","Germany","","EDLI",51.96472168,8.544444084
"Stadtlohn-Vreden Airport","Stadtlohn","Germany","","EDLS",51.99583435,6.840556145
"Biberach a.d. Riß Airport","Biberach","Germany","","EDMB",48.11111069,9.762778282
"Eggenfelden Airport","Eggenfelden","Germany","","EDME",48.39611053,12.72361088
"Mindelheim-Mattsies Airport","Mindelheim","Germany","","EDMN",48.10694504,10.52499962
"Vilshofen Airport","Vilshofen","Germany","","EDMV",48.63499832,13.19555569
"Leutkirch-Unterzeil Airport","Leutkirch","Germany","","EDNL",47.85889053,10.01416683
"Aalen-Heidenheim/Elchingen Airport","Aalen-heidenheim","Germany","","EDPA",48.77777863,10.26472187
"Burg Feuerstein Airport","Burg Feuerstein","Germany","","EDQE",49.79416656,11.13361073
"Haßfurt-Schweinfurt Airport","Hassfurt","Germany","","EDQT",50.01805496,10.52944374
"Freiburg i. Br. Airport","Freiburg","Germany","","EDTF",48.02277756,7.832499981
"Mengen-Hohentengen Airport","Mengen","Germany","","EDTM",48.05389023,9.372777939
"Adolf Würth Airport","Schwaebisch Hall","Germany","","EDTY",49.11833191,9.783888817
